LATITUDE,LONGITUDE,MMSI,SPEEDOVERGROUND,COURSEOVERGROUND
60.89599961,4.211738991000002,1,9.399999618999999,299.5
61.2568227575,4.352363991000002,1,0.0,355.89999389999997
61.617645905,4.492988991000001,1,9.399999618999999,312.0
61.9784690525,4.633613991000001,1,0.600000024,96.0
62.3392922,4.774238991000001,1,11.30000019,38.90000153
62.7001153475,4.914863991000001,1,1.200000048,293.0
63.060938495,5.055488991000001,1,11.19999981,43.29999924
63.4217616425,5.196113991000001,1,10.80000019,36.29999924
63.78258479,5.336738991000001,1,1.299999952,244.10000609999997
64.1434079375,5.477363991000002,1,8.899999618999999,82.40000153
64.504231085,5.617988991000002,1,8.899999618999999,311.0
64.8650542325,5.7586139910000025,1,8.899999618999999,311.0
65.22587738,5.8992389910000025,1,9.199999809,315.0
65.5867005275,6.0398639910000025,1,9.399999618999999,314.0
65.947523675,6.1804889910000025,1,16.39999962,220.60000609999997
66.3083468225,6.3211139910000025,1,16.39999962,220.60000609999997
66.66916997,6.4617389910000025,1,16.10000038,219.39999390000003
67.0299931175,6.6023639910000025,1,16.10000038,219.39999390000003
67.390816265,6.7429889910000025,1,6.6999998089999995,309.7999878
67.7516394125,6.8836139910000025,1,6.6999998089999995,309.7999878
68.11246256,7.0242389910000025,1,11.30000019,289.39999389999997
68.346596207,7.76252024095004,1,0.699999988,240.6999969
68.580729854,8.500801490900017,1,16.0,218.6999969
68.81486350099999,9.239082740849994,1,16.0,218.6999969
69.048997148,9.9773639908,1,6.400000095,308.2000122
69.283130795,10.715645240750037,1,6.400000095,308.2000122
69.517264442,11.453926490700011,1,16.0,211.60000609999997
69.75139808899999,12.192207740649991,1,16.0,211.60000609999997
69.985531736,12.930488990600026,1,8.800000191,131.0
70.219665383,13.668770240550034,1,1.7000000480000002,305.7999878
70.45379903,14.40705149050001,1,11.30000019,38.90000153
70.68793267699999,15.145332740449991,1,11.19999981,43.29999924
70.922066324,15.883613990400026,1,11.19999981,43.59999847
71.156199971,16.621895240350028,1,11.19999981,44.79999924
71.390333618,17.360176490300006,1,1.7000000480000002,259.2999878
71.62446726499998,18.098457740249984,1,9.300000191,277.89999389999997
71.858600912,18.83673899020002,1,8.899999618999999,273.60000610000003
72.09273455900002,19.57502024015002,1,9.100000381000001,261.3999939
72.326868206,20.3133014901,1,9.100000381000001,278.5
72.56100185300001,21.05158274004998,1,8.899999618999999,288.39999389999997
72.7951355,21.78986399000001,1,9.399999618999999,292.7999878
72.902428734,22.35236399000001,1,8.899999618999999,298.10000610000003
73.00972196800001,22.91486399000007,1,9.0,297.2000122
73.117015202,23.47736399000007,1,9.300000191,301.39999389999997
73.224308436,24.03986399000001,1,9.100000381000001,300.2999878
73.33160167,24.60236399000001,1,8.600000381000001,300.7999878
73.438894904,25.16486399000001,1,9.100000381000001,312.2999878
73.546188138,25.72736399000007,1,9.0,311.39999389999997
73.653481372,26.28986399000001,1,9.300000191,278.2999878
73.760774606,26.85236399000001,1,8.899999618999999,277.89999389999997
73.86806784000002,27.41486399000007,1,9.0,265.3999939
73.97536107399999,27.97736399000007,1,11.10000038,221.1999969
74.082654308,28.53986399000001,1,13.5,169.1000061
74.189947542,29.10236399000001,1,11.19999981,165.6000061
74.29724077600001,29.66486399000001,1,7.0,169.1000061
74.40453401,30.22736399000007,1,17.10000038,144.5
74.511827244,30.78986399000001,1,7.900000095,165.1000061
